GeneID	GeneSymbol	# drug associations
10282	BET1	2
51272	BET1L	3
632	BGLAP	23
12095	BGLAP3	2
633	BGN	2
8553	BHLHE40	1
79365	BHLHE41	1
635	BHMT	3
23743	BHMT2	1
23299	BICD2	4
23506	BICRAL	1
637	BID	56
638	BIK	8
274	BIN1	6
55909	BIN3	3
329	BIRC2	42
330	BIRC3	34
332	BIRC5	79
57448	BIRC6	4
79444	BIRC7	6
10904	BLCAP	1
641	BLM	1
642	BLMH	2
2647	BLOC1S1	2
282991	BLOC1S2	1
84162	BLTP1	2
9703	BLTP2	1
54887	BLTP3A	1
23074	BLTP3B	1
644	BLVRA	3
645	BLVRB	2
8548	BLZF1	1
406	BMAL1	2
90427	BMF	1
648	BMI1	8
27302	BMP10	1
9210	BMP15	1
650	BMP2	10
55589	BMP2K	3
652	BMP4	7
654	BMP6	13
655	BMP7	4
657	BMPR1A	2
658	BMPR1B	1
659	BMPR2	1
9790	BMS1	3
660	BMX	3
646	BNC1	1
663	BNIP2	1
664	BNIP3	15
665	BNIP3L	3
259282	BOD1L1	2
666	BOK	1
51027	BOLA1	1
552900	BOLA2	2
23246	BOP1	6
79866	BORA	1
118426	BORCS5	1
54785	BORCS6	1
119032	BORCS7	1
729991	BORCS8	1
669	BPGM	1
670	BPHL	1
10380	BPNT1	1
54928	BPNT2	2
2186	BPTF	3
673	BRAF	7
8315	BRAP	2
221927	BRAT1	3
672	BRCA1	19
675	BRCA2	6
79184	BRCC3	2
23774	BRD1	2
6046	BRD2	3
8019	BRD3	2
23476	BRD4	4
29117	BRD7	1
10902	BRD8	5
65980	BRD9	3
2972	BRF1	7
140707	BRI3BP	1
83990	BRIP1	3
55299	BRIX1	3
55845	BRK1	1
79173	BRME1	1
25855	BRMS1	1
148362	BROX	1
7862	BRPF1	3
27154	BRPF3	1
9024	BRSK2	1
54014	BRWD1	2
55108	BSDC1	2
682	BSG	9
684	BST2	1
9044	BTAF1	1
22903	BTBD3	1
284697	BTBD8	1
686	BTD	1
689	BTF3	4
91408	BTF3L4	1
7832	BTG2	3
10950	BTG3	1
695	BTK	1
8945	BTRC	4
699	BUB1	3
701	BUB1B	5
9184	BUB3	4
84811	BUD13	2
114049	BUD23	1
8896	BUD31	1
705	BYSL	2
9689	BZW1	3
28969	BZW2	2
118611	C10ORF90	1
53838	C11ORF24	1
91894	C11ORF52	1
28970	C11ORF54	1
10944	C11ORF58	1
83638	C11ORF68	2
102288414	C11ORF98	1
113246	C12ORF57	1
56905	C15ORF39	1
388272	C16ORF87	1
388327	C17ORF100	2
124944	C17ORF49	1
64149	C17ORF75	2
55028	C17ORF80	1
83608	C18ORF21	1
83636	C19ORF12	1
64073	C19ORF33	1
126526	C19ORF47	2
56913	C1GALT1	1
339448	C1ORF174	2
400793	C1ORF226	3
79169	C1ORF35	1
25912	C1ORF43	1
79078	C1ORF50	1
148423	C1ORF52	1
54964	C1ORF56	1
84970	C1ORF94	1
712	C1QA	1
713	C1QB	1
708	C1QBP	7
714	C1QC	2
114899	C1QTNF3	1
715	C1R	2
716	C1S	4
25770	C22ORF31	1
25966	C2CD2	2
9854	C2CD2L	2
26005	C2CD3	1
9847	C2CD5	4
79074	C2ORF49	2
257407	C2ORF72	1
389073	C2ORF80	1
718	C3	12
84077	C3ORF20	1
720	C4A	2
721	C4B	4
722	C4BPA	3
725	C4BPB	3
55286	C4ORF19	2
727	C5	12
27202	C5AR2	1
56951	C5ORF15	1
55322	C5ORF22	2
427191	C5ORF51	1
729	C6	3
387263	C6ORF120	1
57827	C6ORF47	1
730	C7	1
84310	C7ORF50	2
731	C8A	2
732	C8B	2
733	C8G	1
65265	C8ORF33	2
735	C9	2
55071	C9ORF40	1
51759	C9ORF78	3
759	CA1	16
771	CA12	5
377677	CA13	2
23632	CA14	3
760	CA2	23
761	CA3	6
762	CA4	3
763	CA5A	3
11238	CA5B	3
765	CA6	3
766	CA7	3
768	CA9	12
79886	CAAP1	3
51719	CAB39	2
81617	CAB39L	1
23523	CABIN1	2
91768	CABLES1	3
26256	CABYR	1
773	CACNA1A	1
775	CACNA1C	4
777	CACNA1E	4
8913	CACNA1G	1
8912	CACNA1H	3
9254	CACNA2D2	2
93589	CACNA2D4	1
784	CACNB3	3
27101	CACYBP	3
790	CAD	4
23705	CADM1	2
199731	CADM4	1
8618	CADPS	1
93664	CADPS2	3
793	CALB1	4
794	CALB2	3
796	CALCA	11
797	CALCB	2
800	CALD1	5
801	CALM1	4
805	CALM2	2
808	CALM3	2
51806	CALML5	1
811	CALR	12
813	CALU	4
50632	CALY	3
8536	CAMK1	4
815	CAMK2A	5
816	CAMK2B	2
817	CAMK2D	4
818	CAMK2G	3
55450	CAMK2N1	1
814	CAMK4	2
10645	CAMKK2	5
79823	CAMKMT	1
79012	CAMKV	1
820	CAMP	6
157922	CAMSAP1	2
23271	CAMSAP2	3
57662	CAMSAP3	1
23125	CAMTA2	1
55832	CAND1	5
821	CANX	8
10487	CAP1	4
10486	CAP2	4
822	CAPG	2
823	CAPN1	14
6650	CAPN15	1
824	CAPN2	12
726	CAPN5	1
827	CAPN6	1
23473	CAPN7	1
826	CAPNS1	4
4076	CAPRIN1	4
133690	CAPSL	1
829	CAPZA1	3
830	CAPZA2	4
832	CAPZB	2
12349	CAR2	1
84270	CARD19	1
64170	CARD9	1
23589	CARHSP1	4
10498	CARM1	8
55604	CARMIL1	4
146206	CARMIL2	1
57571	CARNS1	1
833	CARS1	5
79587	CARS2	1
22794	CASC3	2
101805492	CASC9	1
8573	CASK	2
57513	CASKIN2	3
