threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.2	8	320	0.538	0.355	112.816
0.2	8	340	0.538	0.373	121.764
0.2	8	360	0.537	0.384	124.092
0.2	8	380	0.539	0.391	126.057
0.2	8	400	0.539	0.391	126.057
0.2	8	420	0.539	0.391	126.057
0.2	8	440	0.539	0.391	126.057
0.2	8	460	0.539	0.391	126.057
0.2	8	480	0.539	0.391	126.057
0.2	8	500	0.539	0.391	126.057
0.2	8	520	0.539	0.391	126.057
0.2	8	540	0.539	0.391	126.057
0.2	8	560	0.539	0.391	126.057
0.2	8	580	0.539	0.391	126.057
0.2	8	600	0.539	0.391	126.057
0.2	9	20	0.317	1.467	98.58
0.2	9	40	0.378	1.3	80.196
0.2	9	60	0.408	1.165	73.015
0.2	9	80	0.437	1.104	67.801
0.2	9	100	0.456	1.009	64.444
0.2	9	120	0.462	0.918	61.776
0.2	9	140	0.478	0.836	62.705
0.2	9	160	0.482	0.751	62.27
0.2	9	180	0.492	0.685	64.698
0.2	9	200	0.501	0.624	67.167
0.2	9	220	0.505	0.566	70.304
0.2	9	240	0.507	0.514	73.004
0.2	9	260	0.51	0.466	77.405
0.2	9	280	0.524	0.41	87.952
0.2	9	300	0.532	0.368	100.683
0.2	9	320	0.535	0.348	112.349
0.2	9	340	0.538	0.358	121.298
0.2	9	360	0.541	0.372	126.249
0.2	9	380	0.542	0.388	127.878
0.2	9	400	0.542	0.388	127.878
0.2	9	420	0.542	0.388	127.878
0.2	9	440	0.542	0.388	127.878
0.2	9	460	0.542	0.388	127.878
0.2	9	480	0.542	0.388	127.878
0.2	9	500	0.542	0.388	127.878
0.2	9	520	0.542	0.388	127.878
0.2	9	540	0.542	0.388	127.878
0.2	9	560	0.542	0.388	127.878
0.2	9	580	0.542	0.388	127.878
0.2	9	600	0.542	0.388	127.878
0.2	10	20	0.311	1.493	97.149
0.2	10	40	0.371	1.296	80.541
0.2	10	60	0.418	1.165	74.456
0.2	10	80	0.441	1.093	68.022
0.2	10	100	0.462	1.001	65.591
0.2	10	120	0.469	0.905	63.06
0.2	10	140	0.479	0.822	62.364
0.2	10	160	0.482	0.749	62.08
0.2	10	180	0.49	0.685	64.27
0.2	10	200	0.501	0.618	66.346
0.2	10	220	0.504	0.559	69.296
0.2	10	240	0.505	0.512	72.022
0.2	10	260	0.515	0.464	79.218
0.2	10	280	0.523	0.417	88.062
0.2	10	300	0.531	0.377	100.693
0.2	10	320	0.536	0.36	113.142
0.2	10	340	0.539	0.368	121.445
0.2	10	360	0.54	0.382	123.841
0.2	10	380	0.54	0.382	123.841
0.2	10	400	0.54	0.382	123.841
0.2	10	420	0.54	0.382	123.841
0.2	10	440	0.54	0.382	123.841
0.2	10	460	0.54	0.382	123.841
0.2	10	480	0.54	0.382	123.841
0.2	10	500	0.54	0.382	123.841
0.2	10	520	0.54	0.382	123.841
0.2	10	540	0.54	0.382	123.841
0.2	10	560	0.54	0.382	123.841
0.2	10	580	0.54	0.382	123.841
0.2	10	600	0.54	0.382	123.841
0.2	11	20	0.32	1.469	98.816
0.2	11	40	0.372	1.3	79.469
0.2	11	60	0.417	1.184	74.556
0.2	11	80	0.445	1.094	69.34
0.2	11	100	0.463	1.005	65.914
0.2	11	120	0.474	0.914	64.4
0.2	11	140	0.485	0.831	64.027
0.2	11	160	0.489	0.756	63.392
0.2	11	180	0.498	0.684	65.809
0.2	11	200	0.501	0.617	66.851
0.2	11	220	0.503	0.565	69.062
0.2	11	240	0.502	0.516	71.749
0.2	11	260	0.513	0.465	78.576
0.2	11	280	0.521	0.413	87.567
0.2	11	300	0.533	0.369	102.294
0.2	11	320	0.536	0.345	113.356
0.2	11	340	0.535	0.35	121.531
0.2	11	360	0.539	0.387	128.669
0.2	11	380	0.539	0.387	128.669
0.2	11	400	0.539	0.387	128.669
0.2	11	420	0.539	0.387	128.669
0.2	11	440	0.539	0.387	128.669
0.2	11	460	0.539	0.387	128.669
0.2	11	480	0.539	0.387	128.669
0.2	11	500	0.539	0.387	128.669
0.2	11	520	0.539	0.387	128.669
0.2	11	540	0.539	0.387	128.669
0.2	11	560	0.539	0.387	128.669
0.2	11	580	0.539	0.387	128.669
0.2	11	600	0.539	0.387	128.669
0.2	12	20	0.321	1.46	97.375
0.2	12	40	0.365	1.309	77.612
0.2	12	60	0.421	1.177	75.024
0.2	12	80	0.444	1.087	68.837
0.2	12	100	0.459	0.999	64.911
0.2	12	120	0.479	0.902	64.602
0.2	12	140	0.491	0.822	64.768
0.2	12	160	0.493	0.746	64.608
0.2	12	180	0.503	0.68	66.718
0.2	12	200	0.506	0.617	69.021
0.2	12	220	0.507	0.56	70.933
0.2	12	240	0.509	0.508	74.29
0.2	12	260	0.514	0.457	79.787
0.2	12	280	0.524	0.411	89.437
0.2	12	300	0.531	0.369	102.11
0.2	12	320	0.537	0.345	114.27
0.2	12	340	0.539	0.357	123.668
0.2	12	360	0.542	0.389	128.674
0.2	12	380	0.542	0.389	128.674
0.2	12	400	0.542	0.389	128.674
0.2	12	420	0.542	0.389	128.674
0.2	12	440	0.542	0.389	128.674
0.2	12	460	0.542	0.389	128.674
0.2	12	480	0.542	0.389	128.674
0.2	12	500	0.542	0.389	128.674
0.2	12	520	0.542	0.389	128.674
0.2	12	540	0.542	0.389	128.674
0.2	12	560	0.542	0.389	128.674
0.2	12	580	0.542	0.389	128.674
0.2	12	600	0.542	0.389	128.674
0.2	13	20	0.302	1.516	95.789
0.2	13	40	0.364	1.305	78.072
0.2	13	60	0.416	1.185	73.085
0.2	13	80	0.444	1.093	68.719
0.2	13	100	0.46	1.001	65.138
0.2	13	120	0.472	0.904	62.955
0.2	13	140	0.481	0.82	61.982
0.2	13	160	0.48	0.743	62.638
0.2	13	180	0.491	0.684	64.746
0.2	13	200	0.498	0.618	66.651
0.2	13	220	0.501	0.557	68.986
0.2	13	240	0.501	0.513	71.349
0.2	13	260	0.506	0.463	76.232
0.2	13	280	0.521	0.412	87.801
0.2	13	300	0.532	0.373	101.772
0.2	13	320	0.535	0.357	113.6
0.2	13	340	0.538	0.37	123.18
0.2	13	360	0.539	0.377	124.96
0.2	13	380	0.539	0.377	124.96
0.2	13	400	0.539	0.377	124.96
0.2	13	420	0.539	0.377	124.96
0.2	13	440	0.539	0.377	124.96
0.2	13	460	0.539	0.377	124.96
0.2	13	480	0.539	0.377	124.96
0.2	13	500	0.539	0.377	124.96
0.2	13	520	0.539	0.377	124.96
0.2	13	540	0.539	0.377	124.96
0.2	13	560	0.539	0.377	124.96
0.2	13	580	0.539	0.377	124.96
0.2	13	600	0.539	0.377	124.96
0.2	14	20	0.314	1.507	97.567
0.2	14	40	0.37	1.326	79.129
0.2	14	60	0.418	1.191	73.875
0.2	14	80	0.441	1.093	67.893
0.2	14	100	0.459	1.004	65.271
0.2	14	120	0.471	0.906	63.523
0.2	14	140	0.482	0.829	63.219
0.2	14	160	0.489	0.746	63.471
0.2	14	180	0.489	0.68	64.399
0.2	14	200	0.498	0.617	66.563
0.2	14	220	0.504	0.563	69.462
